Month_Year,Real_Time_Gross_Settlement_Volume,Real_Time_Gross_Settlement_Value,Retail_Electronic_Clearing_Volume,Retail_Electronic_Clearing_Value,Mobile_Banking_Volume,Mobile_Banking_Value,POS_Debit_Cards_Volume,POS_Debit_Cards_Value,POS_Credit_card_Volume,POS_Credit_card_Value
Oct-19,128.92374,13861415.2,8399.73729,2274304.97,12418.0054,532759.213,4550.00566,70125.5985,2027.62665,71138.7255
Sep-19,114.42059,14298230.4,7091.97183,2140620.91,10980.2555,470168.165,4149.33634,55718.2865,1794.70522,59453.1326
Aug-19,118.79496,14842137.7,7299.24229,2136862.52,10072.4319,328042.98,4293.1926,58077.5761,1795.73229,59600.5895
Jul-19,127.44781,16004194.3,6887.21143,2114124.47,9175.84184,533846.147,4256.40612,58545.0702,1784.15705,59616.3862
Jun-19,118.25641,15299131.4,6436.48461,2058081.45,8486.064,497543.057,4121.35421,57453.2877,1632.33489,56928.4156
May-19,124.91084,15837963.2,6838.13947,2483416.15,8417.38397,485008.294,4125.30896,58046.8033,1731.5309,61282.4646
Apr-19,114.75242,14848120.2,7318.52427,2380105.16,8812.34603,402017.506,4130.80303,55350.873,1669.20586,57714.0349
Mar-19,136.43094,19069310.1,7273.18732,2887855.02,8729.26509,440152.745,4075.6568,53011.149,1624.11418,57663.8131
Feb-19,110.88044,14646818.8,6336.1057,2202620,7394.05947,304725.052,3464.8171,45508.902,1413.36179,48496.1575
Jan-19,117.80241,15657031.8,6219.6024,2241503.08,7108.97776,295973.893,3735.31187,50568.2304,1595.65397,54951.7352
Dec-18,113.19551,14583003.7,6201.03219,2226869.75,6614.27835,277632.886,3866.88194,53021.4103,1583.41891,54239.9423
Nov-18,109.65432,13003006.8,5916.47566,2103496.63,5759.9108,249251.581,3757.28777,53911.2057,1458.45853,51621.3153
Oct-18,118.63809,14215255.3,6121.23879,2204440.42,5596.22014,248084.86,3926.08041,54186.2237,1610.64473,56183.5006
Sep-18,104.00289,13125797.3,5524.58642,2032847.82,4896.65418,217646.385,3624.4,45801,1382.30471,46106.789
Aug-18,110.11869,13823620.2,5872.00803,2107167.1,3927.94072,208568.847,3571.7213,48971.9343,1442.01787,47985.8997
Jul-18,109.69882,13862854.4,5649.38533,1962133.02,3560.82574,205982.498,3673.52976,48306.2027,1450.0621,47762.5281
Jun-18,114.32788,14254157.9,5335.85577,2126195.68,3229.73792,196604.941,3588.21967,47922.8501,1359.76847,46279.9154
May-18,114.94398,13235383.9,5271.9533,1921468.77,2679.1289,178943.841,3521.24283,46808.4236,1382.90485,47284.7658
Apr-18,106.60274,12075820.3,5411.21856,1858984.08,2506.1905,134839.369,3337.66143,45457.1313,1323.18612,44836.9735
Mar-18,126.85495,15877965,5398.547,2490183.567,2399.01614,141503.4605,3188.99139,41856.7129,1272.92249,44308.0589
Feb-18,106.2894,11412356.64,4755.1395,1667829.919,2232.48925,113660.4313,2820.07092,37036.6393,1147.53201,37659.7352
Jan-18,111.61079,13366522.03,4893.4624,1708748.076,2150.09305,111407.8344,3013.7455,41102.6863,1299.80162,41437.1526
Dec-17,108.95039,12809884.97,4699.55589,1746468.116,2065.18029,105700.1784,2923.88409,40760.2998,1237.69158,41863.6705
Nov-17,108.27379,12357936.31,4600.95923,1562079.868,1849.69711,106541.9411,2709.64291,36519.298,1159,39296.2
Oct-17,100.01476,11580799.71,4446.16646,1559869.606,1506.7541,91702.4964,2800.03351,41140.4036,1233.63791,41938.9777
Sep-17,96.0802,12773070.25,4277.15739,1562423.339,1138.93233,86219.8486,2663.61467,36932.0781,1126.32229,37465.466
Aug-17,94.58002,11382758.28,4427.85586,1398808.506,982.48733,80506.3871,2676.23131,35665.3839,1153.26572,36298.7835
Jul-17,93.82061,11056209.99,4321.99962,1347166.532,1035.3734,81161.4218,2612.56191,35131.045,1107.62306,33929.7411
Jun-17,98.3005,11620057.37,4267.50863,1411317.038,1157.29,180764.8321,2598.3074,38090.446,1094.7145,35483.2251
May-17,104.34848,11331268.9,4273.5588,1376840.339,1142.57226,213420.2665,2698.45687,37777.7881,1153.30492,36140.6838
